iter	Passed	Remaining
0	1815	1813408
1	1837	916936
2	1869	621222
3	1897	472362
4	1927	383511
5	1957	324247
6	1985	281625
7	2020	250498
8	2048	225589
9	2074	205361
10	2120	190624
11	2165	178260
12	2194	166586
13	2223	156619
14	2297	150875
15	2330	143303
16	2354	136139
17	2385	130115
18	2415	124691
19	2454	120261
20	2505	116788
21	2541	112960
22	2571	109238
23	2598	105652
24	2626	102438
25	2652	99376
26	2684	96752
27	2729	94759
28	2762	92507
29	2792	90275
30	2817	88080
31	2845	86084
32	2871	84134
33	2898	82344
34	2950	81350
35	2979	79783
36	3006	78257
37	3036	76864
38	3062	75466
39	3085	74063
40	3119	72965
41	3157	72012
42	3181	70810
43	3202	69581
44	3226	68467
45	3254	67497
46	3281	66530
47	3303	65529
48	3330	64645
49	3359	63830
50	3390	63086
51	3417	62311
52	3449	61635
53	3477	60921
54	3500	60152
55	3525	59433
56	3566	59008
57	3599	58467
58	3628	57879
59	3657	57293
60	3684	56709
61	3713	56180
62	3744	55693
63	3776	55227
64	3810	54818
65	3843	54392
66	3873	53933
67	3898	53430
68	3926	52974
69	3955	52552
70	3978	52052
71	4004	51614
72	4025	51114
73	4056	50762
74	4093	50480
75	4117	50056
76	4145	49689
77	4167	49262
78	4203	49010
79	4231	48667
80	4273	48484
81	4302	48168
82	4328	47824
83	4354	47482
84	4381	47170
85	4404	46808
86	4440	46601
87	4479	46427
88	4505	46121
89	4533	45840
90	4560	45552
91	4583	45232
92	4612	44983
93	4637	44695
94	4659	44385
95	4699	44248
96	4727	44010
97	4749	43718
98	4774	43449
99	4796	43170
100	4819	42894
101	4843	42638
102	4869	42409
103	4911	42315
104	4939	42105
105	4962	41857
106	4988	41634
107	5014	41412
108	5037	41180
109	5055	40907
110	5080	40692
111	5108	40500
112	5149	40422
113	5176	40228
114	5199	40011
115	5220	39786
116	5239	39541
117	5263	39345
118	5288	39153
119	5322	39034
120	5353	38890
121	5379	38714
122	5406	38550
123	5434	38389
124	5460	38226
125	5484	38040
126	5509	37872
127	5546	37783
128	5574	37640
129	5599	37470
130	5624	37310
131	5647	37134
132	5671	36972
133	5693	36792
134	5719	36647
135	5753	36553
136	5784	36436
137	5812	36309
138	5834	36140
139	5857	35984
140	5883	35845
141	5916	35746
142	5937	35584
143	5971	35500
144	6001	35390
145	6026	35250
146	6052	35120
147	6072	34957
148	6095	34812
149	6115	34652
150	6142	34537
151	6171	34429
152	6208	34369
153	6232	34238
154	6257	34114
155	6281	33982
156	6303	33847
157	6328	33725
158	6348	33579
159	6387	33533
160	6424	33476
161	6453	33382
162	6482	33289
163	6508	33176
164	6533	33063
165	6557	32943
166	6582	32831
167	6609	32732
168	6643	32666
169	6674	32584
170	6700	32482
171	6727	32383
172	6746	32251
173	6767	32124
174	6796	32042
175	6820	31931
176	6853	31867
177	6883	31786
178	6914	31715
179	6941	31622
180	6960	31493
181	6988	31411
182	7014	31315
183	7040	31221
184	7080	31191
185	7110	31119
186	7134	31018
187	7160	30928
188	7183	30825
189	7209	30733
190	7245	30688
191	7279	30632
192	7320	30609
193	7349	30535
194	7375	30448
195	7406	30381
196	7441	30334
197	7478	30290
198	7516	30255
199	7548	30192
200	7575	30112
201	7608	30058
202	7640	29998
203	7678	29962
204	7712	29911
205	7740	29835
206	7766	29752
207	7795	29684
208	7828	29627
209	7861	29572
210	7911	29584
211	7936	29501
212	7966	29436
213	7995	29366
214	8026	29305
215	8052	29226
216	8088	29187
217	8129	29162
218	8157	29092
219	8186	29024
220	8210	28940
221	8241	28881
222	8274	28829
223	8304	28768
224	8354	28776
225	8389	28730
226	8413	28650
227	8447	28604
228	8477	28541
229	8500	28459
230	8534	28410
231	8573	28381
232	8599	28309
233	8624	28233
234	8649	28158
235	8671	28071
236	8695	27995
237	8718	27914
238	8743	27839
239	8774	27784
240	8808	27740
241	8834	27672
242	8864	27615
243	8891	27548
244	8914	27472
245	8939	27400
246	8977	27369
247	9003	27300
248	9029	27233
249	9054	27162
250	9079	27094
251	9103	27020
252	9124	26940
253	9143	26853
254	9176	26810
255	9248	26878
256	9273	26809
257	9299	26745
258	9323	26675
259	9350	26612
260	9388	26581
261	9419	26532
262	9442	26461
263	9466	26391
264	9491	26325
265	9512	26250
266	9535	26177
267	9557	26105
268	9591	26064
269	9623	26019
270	9648	25953
271	9670	25884
272	9693	25813
273	9717	25748
274	9742	25684
275	9766	25620
276	9791	25555
277	9835	25543
278	9859	25478
279	9883	25415
280	9908	25354
281	9931	25285
282	9953	25217
283	9975	25150
284	10004	25099
285	10040	25065
286	10066	25007
287	10089	24944
288	10112	24878
289	10133	24810
290	10156	24746
291	10180	24683
292	10206	24627
293	10244	24599
294	10267	24537
295	10291	24478
296	10312	24409
297	10342	24364
298	10368	24308
299	10392	24248
300	10423	24205
301	10457	24170
302	10483	24115
303	10507	24057
304	10530	23994
305	10552	23933
306	10575	23873
307	10600	23815
308	10623	23757
309	10660	23728
310	10684	23671
311	10708	23613
312	10728	23548
313	10755	23497
314	10778	23438
315	10799	23376
316	10833	23340
317	10869	23311
318	10895	23259
319	10918	23202
320	10940	23142
321	10964	23086
322	10987	23029
323	11008	22968
324	11041	22932
325	11070	22887
326	11095	22835
327	11118	22779
328	11142	22725
329	11163	22666
330	11189	22614
331	11210	22557
332	11237	22509
333	11272	22476
334	11296	22425
335	11327	22385
336	11355	22339
337	11382	22293
338	11406	22241
339	11442	22212
340	11480	22186
341	11508	22141
342	11532	22089
343	11562	22048
344	11593	22009
345	11625	21974
346	11657	21937
347	11684	21891
348	11721	21863
349	11748	21819
350	11773	21768
351	11801	21726
352	11822	21669
353	11849	21623
354	11884	21592
355	11918	21560
356	11945	21516
357	11969	21465
358	11997	21421
359	12024	21377
360	12050	21329
361	12083	21295
362	12118	21266
363	12141	21213
364	12166	21166
365	12191	21118
366	12218	21073
367	12244	21027
368	12268	20980
369	12310	20960
370	12341	20924
371	12369	20882
372	12397	20839
373	12424	20796
374	12452	20754
375	12479	20710
376	12516	20682
377	12549	20650
378	12574	20604
379	12598	20555
380	12621	20505
381	12649	20465
382	12672	20415
383	12695	20366
384	12727	20331
385	12767	20309
386	12797	20270
387	12822	20224
388	12849	20182
389	12873	20135
390	12896	20086
391	12918	20037
392	12950	20002
393	12985	19973
394	13011	19929
395	13035	19882
396	13063	19842
397	13084	19790
398	13107	19743
399	13131	19697
400	13164	19664
401	13200	19636
402	13225	19592
403	13250	19547
404	13281	19512
405	13309	19472
406	13328	19420
407	13360	19385
408	13398	19360
409	13425	19319
410	13451	19277
411	13477	19235
412	13506	19196
413	13528	19148
414	13560	19114
415	13596	19087
416	13623	19046
417	13647	19002
418	13669	18955
419	13694	18911
420	13717	18865
421	13739	18818
422	13779	18796
423	13810	18761
424	13834	18717
425	13858	18672
426	13881	18628
427	13903	18581
428	13926	18536
429	13949	18490
430	13978	18454
431	14015	18427
432	14037	18381
433	14062	18340
434	14083	18291
435	14110	18252
436	14132	18207
437	14155	18163
438	14196	18142
439	14227	18107
440	14251	18064
441	14281	18029
442	14312	17995
443	14336	17953
444	14356	17905
445	14380	17862
446	14424	17845
447	14447	17801
448	14475	17764
449	14500	17723
450	14528	17685
451	14549	17639
452	14569	17592
453	14592	17548
454	14624	17517
455	14655	17483
456	14679	17442
457	14705	17402
458	14734	17367
459	14756	17322
460	14781	17283
461	14804	17240
462	14835	17206
463	14868	17175
464	14894	17136
465	14918	17095
466	14946	17059
467	14968	17015
468	14990	16972
469	15011	16927
470	15049	16902
471	15087	16877
472	15113	16838
473	15138	16799
474	15163	16759
475	15186	16718
476	15207	16674
477	15231	16633
478	15262	16600
479	15305	16580
480	15333	16544
481	15365	16513
482	15397	16481
483	15425	16444
484	15448	16403
485	15475	16367
486	15514	16342
487	15542	16306
488	15568	16268
489	15594	16230
490	15623	16196
491	15649	16158
492	15675	16120
493	15706	16087
494	15747	16065
495	15778	16033
496	15805	15996
497	15830	15957
498	15856	15919
499	15884	15884
500	15912	15848
501	15942	15815
502	15982	15791
503	16005	15751
504	16030	15712
505	16053	15672
506	16077	15633
507	16105	15598
508	16130	15560
509	16156	15523
510	16192	15495
511	16225	15464
512	16255	15431
513	16279	15393
514	16305	15355
515	16330	15317
516	16354	15279
517	16383	15244
518	16457	15252
519	16481	15213
520	16503	15172
521	16527	15134
522	16552	15096
523	16575	15057
524	16604	15023
525	16646	15000
526	16674	14966
527	16701	14930
528	16730	14895
529	16753	14857
530	16778	14819
531	16802	14781
532	16834	14749
533	16877	14727
534	16901	14690
535	16927	14654
536	16952	14616
537	16992	14592
538	17032	14567
539	17087	14556
540	17122	14527
541	17152	14494
542	17182	14461
543	17216	14431
544	17253	14404
545	17279	14368
546	17310	14336
547	17368	14325
548	17419	14310
549	17482	14304
550	17543	14296
551	17583	14270
552	17607	14232
553	17636	14198
554	17673	14170
555	17702	14136
556	17728	14099
557	17805	14103
558	17861	14091
559	17918	14078
560	17973	14065
561	18043	14062
562	18098	14047
563	18125	14011
564	18148	13973
565	18175	13936
566	18205	13902
567	18235	13869
568	18269	13838
569	18309	13812
570	18347	13784
571	18376	13750
572	18407	13717
573	18468	13706
574	18534	13699
575	18599	13691
576	18660	13680
577	18700	13653
578	18750	13633
579	18848	13648
580	18927	13649
581	19031	13668
582	19150	13698
583	19190	13669
584	19225	13638
585	19252	13601
586	19273	13560
587	19302	13524
588	19336	13492
589	19371	13461
590	19413	13434
591	19435	13395
592	19464	13359
593	19493	13323
594	19522	13288
595	19556	13256
596	19620	13244
597	19693	13238
598	19766	13232
599	19848	13232
600	19909	13218
601	19942	13184
602	19970	13147
603	19997	13110
604	20028	13076
605	20063	13044
606	20108	13018
607	20134	12981
608	20160	12943
609	20188	12907
610	20215	12870
611	20239	12831
612	20272	12798
613	20307	12766
614	20338	12732
615	20391	12711
